City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,1.9,85,75,2.24,RU,1710351943
1,bethel,41.3712,-73.414,68.36,39,0,6.91,US,1710351944
2,puerto natales,-51.7236,-72.4875,52.25,58,75,21.85,CL,1710351944
3,igrim,63.1906,64.4162,6.37,92,99,4.85,RU,1710351944
4,hamilton,39.1834,-84.5333,72.61,45,0,11.5,US,1710351835
5,makokou,0.5738,12.8642,70.29,96,94,2.95,GA,1710351945
6,iqaluit,63.7506,-68.5145,-4.27,71,75,2.3,CA,1710351945
7,klyuchi,52.2667,79.1667,17.22,89,88,9.06,RU,1710351945
8,yingkou,40.6648,122.2283,35.91,61,0,5.84,CN,1710351946
9,pangody,65.85,74.4859,-5.06,99,100,8.05,RU,1710351946
10,blackmans bay,-43.0167,147.3167,53.73,75,37,1.01,AU,1710351946
11,waitangi,-43.9535,-176.5597,54.82,93,93,5.99,NZ,1710351947
12,adamstown,-25.066,-130.1015,77.25,82,92,13.8,PN,1710351947
13,xinyuan,37.3,99.0,25.0,33,86,2.13,CN,1710351947
14,tiksi,71.6872,128.8694,-20.74,99,99,6.04,RU,1710351948
15,chidawa,28.2401,75.6456,68.13,34,58,3.89,IN,1710351948
16,badger,64.8,-147.5333,-2.87,79,40,3.44,US,1710351891
17,mugia,43.1041,-9.2179,60.91,84,0,13.33,ES,1710351949
18,saint-pierre,-21.3393,55.4781,78.48,78,20,10.36,RE,1710351949
19,jayapura,-2.5333,140.7,76.39,90,100,4.63,ID,1710351950
20,longyearbyen,78.2186,15.6401,8.44,78,75,17.27,SJ,1710351950
21,nemuro,43.3236,145.575,26.62,65,31,21.32,JP,1710351950
22,aginskoye,51.1,114.53,24.1,78,93,4.5,RU,1710351950
23,vorgashor,67.5833,63.95,5.27,89,93,16.46,RU,1710351951
24,lebu,-37.6167,-73.65,63.07,60,41,8.3,CL,1710351951
25,sosnovo-ozerskoye,52.5249,111.5418,14.63,95,99,5.23,RU,1710351951
26,dan sadau,11.2962,6.4952,97.2,21,96,6.29,NG,1710351952
27,kidal,18.4411,1.4078,93.25,8,52,10.27,ML,1710351952
28,afaahiti,-17.75,-149.2833,82.27,83,100,12.77,PF,1710351952
29,enewetak,11.3474,162.3373,79.77,76,100,22.68,MH,1710351953
30,port elizabeth,-33.918,25.5701,70.11,85,0,12.66,ZA,1710351953
31,castanos,26.7833,-101.4167,86.34,16,1,7.49,MX,1710351953
32,san patricio,28.017,-97.5169,84.16,54,69,14.61,US,1710351954
